route_id,service_type,trip_id,shape_id
21,1,10834,shp_1_34
21,1,10835,shp_1_34
21,1,10836,shp_1_34
21,1,10837,shp_1_34
21,1,10838,shp_1_34
21,1,10839,shp_1_34
21,1,10840,shp_1_34
21,1,10841,shp_1_34
21,1,10842,shp_1_34
21,1,10843,shp_1_34
21,1,10844,shp_1_34
21,1,10845,shp_1_34
21,1,10846,shp_1_34
21,1,10847,shp_1_34
21,1,10848,shp_1_34
21,1,10849,shp_1_34
21,1,10850,shp_1_34
21,1,10851,shp_1_34
21,1,10852,shp_1_34
21,1,10853,shp_1_34
21,1,10854,shp_1_34
21,1,10855,shp_1_34
21,1,10856,shp_1_34
21,1,10857,shp_1_34
21,1,10858,shp_1_34
21,1,10859,shp_1_34
21,1,10860,shp_1_34
21,1,10861,shp_1_34
21,1,10862,shp_1_34
21,1,10863,shp_1_34
21,1,10864,shp_1_34
21,1,10865,shp_1_34
21,1,10866,shp_1_34
21,1,10867,shp_1_34
21,1,10868,shp_1_34
21,1,10869,shp_1_34
21,1,10870,shp_1_34
21,1,10871,shp_1_34
21,1,10872,shp_1_34
21,1,10873,shp_1_34
21,1,10874,shp_1_34
21,1,10875,shp_1_34
21,1,10876,shp_1_34
21,1,10877,shp_1_34
21,1,10878,shp_1_34
21,1,10879,shp_1_34
21,1,10880,shp_1_34
21,1,10881,shp_1_34
21,1,10882,shp_1_34
21,1,10883,shp_1_34
21,1,10884,shp_1_34
21,1,10885,shp_1_34
21,1,10886,shp_1_34
21,1,10887,shp_1_34
21,1,10888,shp_1_34
21,1,10889,shp_1_34
21,1,10890,shp_1_34
21,1,10891,shp_1_34
21,1,10892,shp_1_34
21,1,10893,shp_1_34
21,1,10894,shp_1_34
21,1,10895,shp_1_34
21,1,10896,shp_1_34
21,1,10897,shp_1_34
21,1,10898,shp_1_34
21,1,10899,shp_1_34
0,1,109,shp_1_30
21,1,10900,shp_1_34
21,1,10901,shp_1_34
21,1,10902,shp_1_34
21,1,10903,shp_1_34
21,1,10904,shp_1_34
21,1,10905,shp_1_34
21,1,10906,shp_1_34
21,1,10907,shp_1_34
21,1,10908,shp_1_34
21,1,10909,shp_1_34
21,1,10910,shp_1_34
21,1,10911,shp_1_34
21,1,10912,shp_1_34
21,1,10913,shp_1_34
21,1,10914,shp_1_34
21,1,10915,shp_1_34
21,1,10916,shp_1_34
21,1,10917,shp_1_34
21,1,10918,shp_1_34
21,1,10919,shp_1_34
21,1,10920,shp_1_34
21,1,10921,shp_1_34
21,1,10922,shp_1_34
21,1,10923,shp_1_34
21,1,10924,shp_1_34
21,1,10925,shp_1_34
21,1,10926,shp_1_34
21,1,10927,shp_1_34
21,1,10928,shp_1_34
21,1,10929,shp_1_34
21,1,10930,shp_1_34
21,1,10931,shp_1_34
21,1,10932,shp_1_34
21,1,10933,shp_1_34
21,1,10934,shp_1_34
21,1,10935,shp_1_34
21,1,10936,shp_1_34
21,1,10937,shp_1_34
21,1,10938,shp_1_34
21,1,10939,shp_1_34
21,1,10940,shp_1_34
21,1,10941,shp_1_34
21,1,10942,shp_1_34
21,1,10943,shp_1_34
21,1,10944,shp_1_34
21,1,10945,shp_1_34
21,1,10946,shp_1_34
21,1,10947,shp_1_34
21,1,10948,shp_1_34
21,1,10949,shp_1_34
21,1,10950,shp_1_34
21,1,10951,shp_1_34
21,1,10952,shp_1_34
21,1,10953,shp_1_34
21,1,10954,shp_1_34
21,1,10955,shp_1_34
21,1,10956,shp_1_34
21,1,10957,shp_1_34
21,1,10958,shp_1_34
21,1,10959,shp_1_34
21,1,10960,shp_1_34
21,1,10961,shp_1_34
21,1,10962,shp_1_34
21,1,10963,shp_1_34
21,1,10964,shp_1_34
21,1,10965,shp_1_34
21,1,10966,shp_1_34
21,1,10967,shp_1_34
21,1,10968,shp_1_34
21,1,10969,shp_1_34
22,1,11441,shp_1_22
22,1,11442,shp_1_22
22,1,11443,shp_1_22
22,1,11444,shp_1_22
22,1,11445,shp_1_22
22,1,11446,shp_1_22
22,1,11447,shp_1_22
22,1,11448,shp_1_22
22,1,11449,shp_1_22
22,1,11450,shp_1_22
22,1,11451,shp_1_22
22,1,11452,shp_1_22
22,1,11453,shp_1_22
22,1,11454,shp_1_22
22,1,11455,shp_1_22
22,1,11456,shp_1_22
22,1,11457,shp_1_22
22,1,11458,shp_1_22
22,1,11459,shp_1_22
22,1,11460,shp_1_22
22,1,11461,shp_1_22
22,1,11462,shp_1_22
22,1,11463,shp_1_22
22,1,11464,shp_1_22
22,1,11465,shp_1_22
22,1,11466,shp_1_22
22,1,11467,shp_1_22
22,1,11468,shp_1_22
22,1,11469,shp_1_22
22,1,11470,shp_1_22
22,1,11471,shp_1_22
22,1,11472,shp_1_22
22,1,11473,shp_1_22
22,1,11474,shp_1_22
22,1,11475,shp_1_22
22,1,11476,shp_1_22
22,1,11477,shp_1_22
22,1,11478,shp_1_22
22,1,11479,shp_1_22
22,1,11480,shp_1_22
22,1,11481,shp_1_22
22,1,11482,shp_1_22
22,1,11483,shp_1_22
22,1,11484,shp_1_22
22,1,11485,shp_1_22
22,1,11486,shp_1_22
22,1,11487,shp_1_22
22,1,11488,shp_1_22
22,1,11489,shp_1_22
22,1,11490,shp_1_22
22,1,11491,shp_1_22
22,1,11492,shp_1_22
22,1,11493,shp_1_22
22,1,11494,shp_1_22
22,1,11495,shp_1_22
22,1,11496,shp_1_22
22,1,11497,shp_1_22
22,1,11498,shp_1_22
22,1,11499,shp_1_22
22,1,11500,shp_1_22
22,1,11501,shp_1_22
22,1,11502,shp_1_22
22,1,11503,shp_1_22
22,1,11504,shp_1_22
22,1,11505,shp_1_22
22,1,11506,shp_1_22
22,1,11507,shp_1_22
22,1,11508,shp_1_22
22,1,11509,shp_1_22
22,1,11510,shp_1_22
22,1,11511,shp_1_22
22,1,11512,shp_1_22
22,1,11513,shp_1_22
22,1,11514,shp_1_22
22,1,11515,shp_1_22
22,1,11516,shp_1_22
22,1,11517,shp_1_22
22,1,11518,shp_1_22
22,1,11519,shp_1_22
22,1,11520,shp_1_22
22,1,11521,shp_1_22
22,1,11522,shp_1_22
22,1,11523,shp_1_22
22,1,11524,shp_1_22
22,1,11525,shp_1_22
22,1,11526,shp_1_22
22,1,11527,shp_1_22
22,1,11528,shp_1_22
22,1,11529,shp_1_22
22,1,11530,shp_1_22
22,1,11531,shp_1_22
22,1,11532,shp_1_22
22,1,11533,shp_1_22
22,1,11534,shp_1_22
22,1,11535,shp_1_22
22,1,11536,shp_1_22
22,1,11537,shp_1_22
22,1,11538,shp_1_22
22,1,11539,shp_1_22
22,1,11540,shp_1_22
22,1,11541,shp_1_22
22,1,11542,shp_1_22
22,1,11543,shp_1_22
22,1,11544,shp_1_22
22,1,11545,shp_1_22
22,1,11546,shp_1_22
22,1,11547,shp_1_22
22,1,11548,shp_1_22
22,1,11549,shp_1_22
22,1,11550,shp_1_22
22,1,11551,shp_1_22
22,1,11552,shp_1_22
22,1,11553,shp_1_22
22,1,11554,shp_1_22
22,1,11555,shp_1_22
22,1,11556,shp_1_22
22,1,11557,shp_1_22
22,1,11558,shp_1_22
22,1,11559,shp_1_22
22,1,11560,shp_1_22
22,1,11561,shp_1_22
22,1,11562,shp_1_22
22,1,11563,shp_1_22
22,1,11564,shp_1_22
22,1,11565,shp_1_22
22,1,11566,shp_1_22
22,1,11567,shp_1_22
22,1,11568,shp_1_22
22,1,11569,shp_1_22
22,1,11570,shp_1_22
22,1,11571,shp_1_22
22,1,11572,shp_1_22
22,1,11573,shp_1_22
22,1,11574,shp_1_22
22,1,11575,shp_1_22
22,1,11576,shp_1_22
22,1,11577,shp_1_22
22,1,11578,shp_1_22
22,1,11579,shp_1_22
22,1,11580,shp_1_22
22,1,11581,shp_1_22
22,1,11582,shp_1_22
22,1,11583,shp_1_22
22,1,11584,shp_1_22
22,1,11585,shp_1_22
22,1,11586,shp_1_22
22,1,11587,shp_1_22
22,1,11588,shp_1_22
22,1,11589,shp_1_22
22,1,11590,shp_1_22
22,1,11591,shp_1_22
22,1,11592,shp_1_22
22,1,11593,shp_1_22
22,1,11594,shp_1_22
22,1,11595,shp_1_22
22,1,11596,shp_1_22
22,1,11597,shp_1_22
22,1,11598,shp_1_22
22,1,11599,shp_1_22
22,1,11600,shp_1_22
22,1,11601,shp_1_22
22,1,11602,shp_1_22
22,1,11603,shp_1_22
22,1,11604,shp_1_22
22,1,11605,shp_1_22
22,1,11606,shp_1_22
22,1,11607,shp_1_22
22,1,11608,shp_1_22
22,1,11609,shp_1_22
22,1,11610,shp_1_22
22,1,11611,shp_1_22
22,1,11612,shp_1_22
22,1,11613,shp_1_22
22,1,11614,shp_1_22
22,1,11615,shp_1_22
22,1,11616,shp_1_22
22,1,11617,shp_1_22
22,1,11618,shp_1_22
22,1,11619,shp_1_22
22,1,11620,shp_1_22
22,1,11621,shp_1_22
22,1,11622,shp_1_22
22,1,11623,shp_1_22
22,1,11624,shp_1_22
22,1,11625,shp_1_22
22,1,11626,shp_1_22
22,1,11627,shp_1_22
22,1,11628,shp_1_22
22,1,11629,shp_1_22
22,1,11630,shp_1_22
22,1,11631,shp_1_22
22,1,11632,shp_1_22
22,1,11633,shp_1_22
22,1,11634,shp_1_22
22,1,11635,shp_1_22
22,1,11636,shp_1_22
22,1,11637,shp_1_22
22,1,11638,shp_1_22
22,1,11639,shp_1_22
22,1,11640,shp_1_22
22,1,11641,shp_1_22
22,1,11642,shp_1_22
22,1,11643,shp_1_22
22,1,11644,shp_1_22
22,1,11645,shp_1_22
22,1,11646,shp_1_22
22,1,11647,shp_1_22
22,1,11648,shp_1_22
22,1,11649,shp_1_22
22,1,11650,shp_1_22
22,1,11651,shp_1_22
22,1,11652,shp_1_22
22,1,11653,shp_1_22
22,1,11654,shp_1_22
22,1,11655,shp_1_22
22,1,11656,shp_1_22
22,1,11657,shp_1_22
22,1,11658,shp_1_22
22,1,11659,shp_1_22
22,1,11660,shp_1_22
22,1,11661,shp_1_22
22,1,11662,shp_1_22
22,1,11663,shp_1_22
22,1,11664,shp_1_22
22,1,11665,shp_1_22
22,1,11666,shp_1_22
22,1,11667,shp_1_22
22,1,11668,shp_1_22
22,1,11669,shp_1_22
22,1,11670,shp_1_22
22,1,11671,shp_1_22
22,1,11672,shp_1_22
22,1,11673,shp_1_22
22,1,11674,shp_1_22
22,1,11675,shp_1_22
22,1,11676,shp_1_22
